52,Sólidos de mantenimiento automotriz,SO2,40,Kg,Toxico ,Mantenimiento,17/04/2014,24/04/2014,Fundición para reciclado de metales,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Mario Antonio Miranda Castro,1,27/05/2014 15:05,014-002-682-95,14-98B-PS-ll-18-03,10879
53,Sólidos de mantenimiento automotriz,SO2,30,Kg,Toxico ,Mantenimiento,22/02/2012,02/03/2012,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Luis Manuel Carlo Mora,1,04/06/2014 22:33,014-002-682-95,14-98B-PS-ll-18-03,8419
54,Aceites lubricantes usados,RPM/01,300,Kg,Toxico Inflamable ,Mantenimiento,11/07/2012,22/12/2012,Formulación de combustibles alternos,Ricardo Campos Campos,Eco Amere S.A. de C.V. ,Manuel Fuentes Díaz,1,04/06/2014 22:38,06-03-PS-I_2010,14-II-01-02,223
55,Aceites lubricantes usados,RPM/01,350,Kg,Toxico Inflamable ,Mantenimiento,15/08/2012,22/12/2012,Formulación de combustibles alternos,Ricardo Campos Campos,Eco Amere S.A. de C.V. ,Manuel Fuentes Díaz,1,04/06/2014 22:43,06-03-PS-I_2010,14-II-01-02,223
56,Aceites lubricantes usados,RPM/01,250,Kg,Toxico Inflamable ,Mantenimiento,13/11/2012,22/12/2012,Formulación de combustibles alternos,Ricardo Campos Campos,Eco Amere S.A. de C.V. ,Manuel Fuentes Díaz,1,04/06/2014 22:47,06-03-PS-I_2010,14-II-01-02,223
57,Aceites lubricantes usados,RPM/01,100,Kg,Toxico Inflamable ,Mantenimiento,18/02/2014,16/05/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Fabiola Gorrocino,1,04/06/2014 23:09,014-002-682-95,14-98B-PS-ll-18-03,10934
58,Aceites lubricantes usados,RPM/01,150,Kg,Toxico Inflamable ,Mantenimiento,30/04/2014,16/05/2014,Formulación de combustibles alternos,Alicia Huerta Rodríguez,Alicia Huerta Rodriguez,Fabiola Gorrocino,1,04/06/2014 23:10,014-002-682-95,14-98B-PS-ll-18-03,10934
59,Telas o pieles impregnadas de residuos peligrosos,SO1,60,Kg,Toxico ,Mantenimiento,28/03/2010,29/04/2010,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,09/06/2014 18:33,06-02-PS-I-02-2001,06-02-PS.II-01-2009,16016
60,Sólidos impregnados con pintura,SO4,30,Kg,Toxico ,Mantenimiento,28/03/2010,29/04/2010,Neutralización,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,10/06/2014 16:33,06-02-PS-I-02-2001,06-02-PS.II-01-2009,16016
61,Baterías eléctricas a base de mercurio o de níquel-cadmio,RPM/05,1,Kg,Toxico Corrosivo ,Mantenimiento,28/03/2010,29/04/2010,Confinamiento controlado,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,09/06/2014 18:36,06-02-PS-I-02-2001,06-02-PS.II-01-2009,16016
62,Aceites lubricantes usados,RPM/01,150,Kg,Toxico Inflamable ,Mantenimiento,13/08/2010,15/09/2010,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,09/06/2014 19:21,06-02-PS-I-02-2001,06-02-PS.II-01-2009,16832
63,Combustóleo contaminado,O,1980,Kg,Toxico Inflamable ,Mantenimiento,29/09/2010,15/10/2010,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lorena Vargas Villaseñor,1,05/06/2014 17:24,06-02-PS-I-02-2001,06-02-PS.II-01-2009,16979
64,Combustóleo contaminado,O,2600,Kg,Toxico Inflamable ,Mantenimiento,22/09/2010,15/10/2010,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,César Maya Pérez,1,09/06/2014 19:26,06-02-PS-I-02-2001,06-02-PS.II-01-2009,16981
65,Combustóleo contaminado,O,3000,Kg,Toxico Inflamable ,Mantenimiento,27/09/2010,28/10/2010,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Oscar Moreno Paredes,1,09/06/2014 19:27,06-02-PS-I-02-2001,06-02-PS.II-01-2009,17037
66,Combustóleo contaminado,O,1690,Kg,Toxico Inflamable ,Mantenimiento,01/10/2010,30/10/2010,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,César Maya Pérez,1,09/06/2014 19:28,06-02-PS-I-02-2001,06-02-PS.II-01-2009,17005
67,Sólidos impregnados con pintura,SO4,25,Kg,Toxico ,Mantenimiento,01/10/2010,30/10/2010,Neutralización,Jorge Ahumada Ventura,Jorge Ahumada Ventura,César Maya Pérez,1,10/06/2014 16:34,06-02-PS-I-02-2001,06-02-PS.II-01-2009,17005
68,Fármacos,RPM/08,15,Kg,Toxico ,Mantenimiento,08/03/2011,06/04/2011,Neutralización,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lorena Vargas Villaseñor,1,09/06/2014 18:38,06-02-PS-I-02-2001,06-02-PS.II-01-2009,8824
69,Aceites lubricantes usados,RPM/01,300,Kg,Toxico Inflamable ,Mantenimiento,24/10/2011,16/11/2011,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,César Maya Pérez,1,09/06/2014 19:30,06-02-PS-I-02-2001,06-02-PS.II-01-2009,19285
70,Telas o pieles impregnadas de residuos peligrosos,SO1,100,Kg,Toxico Inflamable ,Mantenimiento,22/10/2011,16/11/2011,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,César Maya Pérez,1,09/06/2014 19:32,06-02-PS-I-02-2001,06-02-PS.II-01-2009,19285
71,Combustóleo contaminado,O,250,Kg,Toxico Inflamable ,Mantenimiento,14/11/2011,16/11/2011,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,César Maya Pérez,1,09/06/2014 19:32,06-02-PS-I-02-2001,06-02-PS.II-01-2009,19285
72,Sólidos impregnados con sustancias químicas,SO4,300,Kg,Toxico Inflamable ,Mantenimiento,27/10/2011,16/11/2011,Neutralización,Jorge Ahumada Ventura,Jorge Ahumada Ventura,César Maya Pérez,1,10/06/2014 16:35,06-02-PS-I-02-2001,06-02-PS.II-01-2009,19285
73,Líquidos contaminados con agentes químicos,O,300,Kg,Toxico ,Mantenimiento,17/10/2011,16/11/2011,Neutralización,Jorge Ahumada Ventura,Jorge Ahumada Ventura,César Maya Pérez,1,09/06/2014 18:41,06-02-PS-I-02-2001,06-02-PS.II-01-2009,19285
74,Baterías eléctricas a base de mercurio o de níquel-cadmio,RPM/05,12,Kg,Toxico Corrosivo ,Mantenimiento,01/01/2012,10/01/2012,Confinamiento controlado,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lorena Vargas Villaseñor,1,05/06/2014 17:46,06-02-PS-I-02-2001,06-02-PS.II-01-2009,19547
75,Sólidos impregnados con sustancias químicas,SO4,220,Kg,Toxico Inflamable ,Mantenimiento,02/12/2012,19/12/2012,Neutralización,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,10/06/2014 16:36,06-02-PS-I-02-2001,06-02-PS.II-01-2009,21447
76,Sólidos impregnados con pintura,SO4,80,Kg,Toxico Inflamable ,Mantenimiento,02/12/2012,19/12/2012,Neutralización,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,10/06/2014 16:36,06-02-PS-I-02-2001,06-02-PS.II-01-2009,21447
77,Telas o pieles impregnadas de residuos peligrosos,SO1,60,Kg,Toxico Inflamable ,Mantenimiento,02/12/2012,19/12/2012,Formulación de combustibles alternos,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,09/06/2014 19:42,06-02-PS-I-02-2001,06-02-PS.II-01-2009,21447
78,Sólidos impregnados con sustancias químicas,SO4,50,Kg,Toxico Inflamable ,Mantenimiento,02/12/2012,19/12/2012,Neutralización,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,10/06/2014 16:40,06-02-PS-I-02-2001,06-02-PS.II-01-2009,21447
79,Baterías eléctricas a base de mercurio o de níquel-cadmio,RPM/05,1,Kg,Toxico Corrosivo ,Mantenimiento,02/12/2012,19/12/2012,Confinamiento controlado,Jorge Ahumada Ventura,Jorge Ahumada Ventura,Lourdes Juárez,1,09/06/2014 19:38,06-02-PS-I-02-2001,06-02-PS.II-01-2009,21447
80,Sustancias corrosivas  ácidos,C1,25,Kg,Toxico Corrosivo ,Laboratorio,19/03/2013,26/03/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 01:25,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,25
81,Sustancias corrosivas  álcalis,C2,25,Kg,Toxico Corrosivo ,Laboratorio,18/03/2013,26/03/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 01:26,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,25
82,Sustancias corrosivas  ácidos,C1,25,Kg,Toxico Corrosivo ,Laboratorio,12/03/2013,26/03/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 01:27,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,25
83,Fármacos,RPM/08,1,Kg,Toxico ,Laboratorio,14/03/2013,26/03/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 19:48,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,25
84,Sustancias corrosivas  ácidos,C1,3,Kg,Toxico Corrosivo ,Laboratorio,19/03/2013,26/03/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 01:30,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,25
85,Aditivos químicos,O,4,Kg,Toxico Reactivo ,Laboratorio,27/02/2013,26/03/2013,Neutralización,Ricardo Díaz Virgen,Alicia Huerta Rodriguez,Lourdes Juárez,1,09/06/2014 01:34,06-10-PS-I-01-2011,14-98B-PS-ll-18-03,25
